QuestIndex,ObjectIndex,TalkKey,TalkData,TalkDelay,PortraitNum,SelectionKey,AcquiredItemKey,DisplayEnableItemKey,CutsceneKey,EndingKey,EffectSoundKey
10,101,11,(신음하며 눈을 뜬다),,,,,,,,
,,,으윽.. ,,,,,,,,
,,,시야가 흐린 눈으로 주위를 둘러싼 빈 술병들을 바라보았다.,,,,,,,,
,,,다 내가 마셔버린 술병 들이었다.,,,,,,,,
,,,빈 병들은 비어있건 조금 남아있건 모두 날 보며 손가락질 한다.,,,,,,,,
,,,마치 날 비웃기라도 하는 듯 흔들흔들 춤을 추는 것 처럼 보인다.,,,,,,,,
,,,술병을 들고 온갖 방향으로 던져버리고 싶다.,,,,,,,,
,,,내가 잠들어있던 사이에 저 술병들이 내 목을 조였으면 했다.,,,,,,,,
,,,"그러나, 그런 행복한 일은 없었고",,,,,,,,
,,,내 목을 조이고 있는 건 나 자신 뿐이었다.,,,,,,,,
10,102,12,밤새 마셨던 술을 옷에 다 흘려서 옷을 갈아 입어야 할 것 같다.,,,,,,,,
,,,며칠 동안이나 입고 있던 옷이라 음식이나 술 냄새가 가득했다.,,,,,,,,
,,,세탁실로 가야겠다.,,,,,,,,
20,103,13,(새 옷을 꺼내 갈아입는다),,,,,,,,
,,,음..? 이게 뭐지?,,,,,,,,
,,,메모리카드다.,,,,,,1,,
,,,그가 떠난 이후 유일하게 남기고간 것이었다.,,,,,,,,
,,,… …,,,,,,,,
,,,가만히 보고 있자니 순간 복잡한 감정이 휘몰아쳤다.,,,,,,,,
,,,어떠한 설명도 없이 대체 왜 나를 떠난 것인지.,,,,,,,,
,,,그토록 싫어진건지.,,,,,,,,
,,,"내가 잘못한 게 있는지,",,,,,,,,
,,,그렇다면 뭘 잘못한 건지 감히 감조차 오지 않았다.,,,,,,,,
,,,그 중 가장 마음이 아픈 건 끝내 고개숙인 내 앞에서 옅은 미소를 지으며 괜찮다고 말해줄 그가 이제 없다는 사실.,,,,,,,,
,,,그게 날 가장 힘들게 했다.,,,,,,,,
,,,메모리카드를 그의 옆에 가져다가 놓자,,,,,,,,
30,104,14,(메모리카드를 그의 유골함 옆에 조심히 올려놓았다),,,,,,,,
,,,참 어리석고 한심한 마음이 생기기 시작했다.,,,,,,,,
,,,"그를 위해 헌신해 온 나를 이렇게 버려두고,",,,,,,,,
,,,기껏 떠났으면서 왜 또 그렇게 먼 곳으로 가버려서는..,,,,,,,,
,,,분노의 대상조차 잃어버린 나의 손이 계속해서 덜덜 떨려오기 시작했다.,,,,,,,,
,,,"나에게 한마디라도 해줬더라면, 아주 작은 힌트라도 줬다면 좋았을까.",,,,,,,,
,,,아니 그걸 눈치채지 못한 내 자신에게 가장 화가 났다.,,,,,,,,
,,,나를 끝없이 비참하고 무기력하게 만든 그에게 처음으로 있는 힘껏 소리치고 싶은 마음이 들었다.,,,,,,,,
,,,그렇지만 이제 이 세상에 그는 없었다.,,,,,,,,
,,,내가 그걸 언젠가는 받아들일 수는 있긴 한걸까,,,,,,,,
30,105,15,… …,,,,,,,,
,,,으아아아아아아아아아아아아아아!!!,,,,,,,,
,,,(얼굴이 빨개져라 소리친다),,,,,,,,
,,,허억… 허억…,,,,,,,,
,,,허어억… 흐윽..,,,,,,,,
,,,온 힘을 다해 소리쳐봐도 갑갑함이 조금도 해소되지 않는다.,,,,,,,,
,,,원망이 가득한 눈으로 메모리카드를 노려보았다.,,,,,,,,
,,,"그를 다시 마주할 자신이 없어 몇 번이고 포기했었는데, 지금은 결심이 섰다.",,,,,,,,
,,,또 다시 무너져 내릴 것은 알지만.. 용기가 조금 난걸까.,,,,,,,,
,,,"아니, 말하자면 용기보단 분노에 가까운 감정이다.",,,,,,,,
,,,날 떠난 이유를 알고 싶을 뿐이었다.,,,,,,,,
40,106,16,콜록… 콜록…,,,,,,,,
,,,(먼지 쌓인 상자 더미를 뒤져 가상 현실 기기를 꺼냈다),,,,,,,,
,,,가상현실과 뇌과학의 발전이 만들어낸 새로운 장례 문화.,,,,,,,,
,,,죽은 이의 마지막 하루동안의 기억과 인격을 최대한 복제하여 가상현실 공간에서 반복해서 보낼 수 있다고 한다.,,,,,,,,
,,,유족의 슬픔을 덜기 위해 만들어졌다고는 하는데.. 과연 그럴까,,,,,,,,
,,,현실도 아니고 복제한 것일 뿐인데. 그렇다고 살아 돌아오는 것도 아닌데.,,,,,,,,
,,,(물끄러미 가상현실 기기를 바라본다),,,,,,,,
,,,방으로 돌아가 방에서 연결하면 될 것 같다.,,,,,,,,
40,107,17,(코드를 꽂아 가상현실 기기를 연결했다),,,,,,,,
,,,… …,,,,,,,,
,,,(말 없이 기기를 집어들었다),,,,,,,,
50,108,18,,,,,,,,,
