QuestIndex,ObjectIndex,TalkKey,TalkData,TalkDelay,PortraitNum,CutsceneKey,TalkEventKey,AnimationKey,EffectSoundKey
1000,1,1001,역시나 오늘도 그의 꿈을 꿨다.,,,,,Pre-FadeIn,
,,,평소보다도 더 생생하고 슬펐다.,,,,,,
,,,그를 부르며 잠에서 깼지만 내 눈가에는 아직 눈물이 고여있다.,,,,,,
,,,(눈물을 대충 닦고 한숨을 내쉰다),,,,,,
,,,목숨같던 그가 세상에서 사라졌는데 아직 내가 살아있다는 게 가장 큰 죄 처럼 느껴진다.,,,,,,
,,,어쩌면 난 그가 날 사랑하는 것 만큼 그를 사랑하지 않았나보다.,,,,,,
1000,2,1002,이젠 더 이상 상관이 없었다.,,,,,,
,,,현실이 아니라도 상관 없었다.,,,,,,
,,,아무 말이 없어도,,,,,,
,,,몇 번이고 날 버려도,,,,,,
,,,헤어지는 날이 몇 번이고 반복된다는 말은,,,,,,
,,,만나는 날이 몇 번이고 반복된다는 말이니까,,,,,,
,,,내가 아픈 건 이제 상관 없었다.,,,,,,
1000,3,1003,사랑하는 그의 앞에서 더 이상 망가지고 싶지 않다.,,,,,,
,,,그가 내 곁에 있을 때 그가 사랑하던 내 모습을 보여주고 싶다.,,,,,,
,,,아주 작은 마음이라도 남아있다고 믿고 싶다.,,,,,,
,,,어질러진 술병들 부터 치워야겠다.,,,,,,
2000,130,2130,(술병을 치웠다),,,,,,
2000,150,2150,이성을 잃고 던져버린 술병이다.,,,,,,
,,,벽과 바닥에 술이 흥건하게 묻어있다.,,,,,,
,,,(깨진 술병 조각들을 조심히 주웠다),,,,,,
,,,주방에서 걸레를 가져와야겠다.,,,,,,
3000,1,3001,요리를 시작한 것도 그 때문이었다.,,,,,,
,,,맛있는 걸 대접하고 싶은 마음에서 손 베어가며 요리를 시작했다.,,,,,,
,,,베인 손을 보고 진심으로 걱정하며 반창고를 붙여 줄 땐 어찌나 감동이던지.,,,,,,
,,,점차 나아지는 실력을 보고 그는 응원과 칭찬을 아끼지 않았다.,,,,,,
